"","Participant_ID","session_id","age","major","gender","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","Intrinsic","Mood","NFC","SelfEsteem"
"1532","29",7484148,18,"Design","1",7,6,6,6,5,3.333333333,6,3.833333333,5
"1533","30",7484227,18,"Biochemistry and Molecular Biology","1",5,3.5,3,4.5,4,2.733333333,3.5,2.833333333,2
"1534","31",7484309,20,"Psychology","1",7,7,7,6.5,7,3.133333333,3,3,7
"1535","32",7484390,26,"political science","2",6.5,2.5,2,4,5.5,3.4,5.5,4.333333333,5
"1536","33",7488050,20,"Nutrition Science","1",4.5,6,5,6.5,2.5,2.866666667,5,3.5,3
"1537","34",7488107,22,"Psychology","1",3,5.5,5.5,4.5,5,2.866666667,6,3.333333333,4
"1538","35",7488201,31,"Sociology","1",6,5.5,7,4.5,2.5,3.066666667,6,2.833333333,7
"1539","36",7488262,20,"Genetics","1",5,6,1,2.5,6,2.066666667,4,2.5,4
"1540","37",7490411,18,"Neurology Physiology and Behavior","2",4.5,6,3.5,4.5,3,2.933333333,4,3.5,3
"1541","38",7490464,19,"Biology","1",7,6,4,6,1.5,3.133333333,5.5,3.5,5
"1542","39",7490654,19,"Music, Psychology (Mathematics emphasis)","2",4.5,4.5,4,5,1.5,2.533333333,6,2.833333333,6
"1543","40",7490793,20,"Human Development","1",3.5,4.5,4.5,4,3.5,2.933333333,4.5,3.666666667,5
"1544","41",7490879,21,"psychology and chinese","2",3.5,5.5,5,3.5,3,2.6,5.5,2.833333333,4
"1545","42",7490998,19,"Neurobiology, physiology and behavior","1",6.5,3,4.5,5,1,3.733333333,7,4.166666667,7
"1546","43",7491084,24,"Psychology","1",3.5,4,3,6,6.5,2.333333333,6,3,5
"1547","44",7499669,23,"microbiology","2",4.5,3,2,5.5,3.5,2.2,4,3,2
"1548","45",7499776,20,"Psychology","1",4.5,6.5,6,5.5,3.5,2.6,5,3.166666667,5
"1549","46",7499834,19,"Psychology and Communications","1",1.5,2,3,3.5,3,3.466666667,6,3.833333333,5
"1550","47",7499906,18,"Undeclared","1",6,7,4,4.5,4,3.266666667,3,2.666666667,5
"1551","48",7502430,19,"Economics","2",4.5,4,3.5,4,3.5,2.933333333,4,3.833333333,4
"1552","49",7502705,20,NA,"2",4.5,4,6,6.5,3,3.133333333,6,3.666666667,6
"1553","50",7505175,20,"Nutrition Sciences","1",3.5,4.5,1.5,5,3,2.533333333,5.5,2.166666667,3
"1554","51",7505273,20,"Managerial Economics","1",3.5,7,5,6,5.5,2.333333333,5,2.166666667,5
"1555","52",7505336,18,"Neurobiology, Physiology and Behavior","2",4,6,6,4,4,2.8,5,3,5
"1556","53",7505399,20,"Genetics","1",6.5,4.5,3,4.5,6,2.933333333,5,3.166666667,4
"1557","54",7507287,19,"psychology","2",7,5,5,4.5,5,3.6,3,3.666666667,6
"1558","55",7507388,18,"Psychology","1",4.5,5,4.5,5,4,2.666666667,6,2.666666667,3
"1559","56",7507577,19,"Psychology and Human Development","1",5,5.5,6,5.5,4.5,2.666666667,5.5,2.833333333,3
"1560","57",7507680,19,"Economics","1",4.5,6,2.5,3,4,2.8,5,3.166666667,6
"1561","58",7507913,20,"Chemical Engineering","2",2.5,6,4.5,3.5,3.5,2.466666667,5,2.666666667,6
"1562","59",7528212,19,"Biological sciences","1",5,5,3.5,6,3.5,2.933333333,4.5,2.833333333,5
"1563","60",7528314,18,"psychology","1",5.5,6,3.5,4.5,3.5,2.333333333,3.5,2.833333333,6
"1564","61",7528382,21,"Psychology","2",6.5,3.5,4.5,3.5,4,2.866666667,3,2.333333333,6
"1565","62",7528457,21,"Psychology","1",3,6,1,3,3.5,1.866666667,3.5,3.166666667,4
